"Scenario","Before1","Before2","Before3","After1","After2","After3","BeforeMedian","AfterMedian","ChangePercent"
"basic/noop/cold","7276","7271","7271","7250","7250","7250","7271","7250","-0.29"
"basic/noop/warm","767","757","767","737","737","737","767","737","-3.91"
"basic/spawn_and_complete_one/warm","1601","1601","1601","1485","1485","1485","1601","1485","-7.25"
"basic/yield_one/warm","2822","2812","2812","2677","2703","2677","2812","2677","-4.8"
"decomposed/cycle_pending/first_poll","1194","1184","1194","1077","1077","1067","1194","1077","-9.8"
"decomposed/cycle_pending/inactive","778","788","778","758","758","768","778","758","-2.57"
"decomposed/cycle_ready/tasks_1","1331","1321","1321","1205","1215","1205","1321","1205","-8.78"
"decomposed/cycle_ready/tasks_32","7772","7772","7762","7292","7292","7292","7772","7292","-6.18"
"decomposed/cycle_woken/all_32","9696","9696","9706","8801","8791","8801","9696","8801","-9.23"
"decomposed/cycle_woken/one_of_1","1201","1229","1201","1195","1195","1205","1201","1195","-0.5"
"decomposed/cycle_woken/one_of_32","1214","1242","1224","1208","1208","1208","1224","1208","-1.31"
"decomposed/cycle_woken/overflow","92336","92316","92326","80039","80039","80039","92326","80039","-13.31"
"decomposed/poll_completed/ready","134","134","134","134","134","134","134","134","0"
"decomposed/task_add/cold","5272","5272","5272","5285","5285","5285","5272","5285","0.25"
"decomposed/task_add/warm","315","315","315","315","315","315","315","315","0"
"decomposed/wake_by_ref/delivered","162","162","162","162","162","162","162","162","0"
"decomposed/wake_by_ref/duplicate","162","162","162","162","162","162","162","162","0"
"decomposed/wake_by_ref/overflow","145","145","145","145","145","145","145","145","0"
"decomposed/yield_cycle/completion","1366","1356","1366","1348","1348","1348","1366","1348","-1.32"
"decomposed/yield_cycle/self_wake","1273","1263","1263","1136","1136","1136","1263","1136","-10.06"
"slow/spawn_and_complete_10k/burst_10000","5277393","5277393","5277393","4817319","4817324","4817324","5277393","4817324","-8.72"
"slow/spawn_and_complete_one_times_many/sequential_1000","1513251","1513231","1513211","1397181","1397181","1397181","1513231","1397181","-7.67"
"slow/yield_10k/burst_10000","8599600","8599600","8599564","7918634","7918634","7918643","8599600","7918634","-7.92"
